읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이승천,미래통합당강대식,민생당남원환,민중당송영우,국가혁명배당금당이명부,무소속윤창중,무소속송영선,계,무효투표수,기권수
합계,,172158,112039,33644,66461,613,1090,765,2616,4965,110154,1885,60119
거소·선상투표,,387,365,98,180,9,11,12,9,21,340,25,22
관외사전투표,,10653,10648,4265,5301,82,136,89,213,306,10392,256,5
국외부재자투표,,427,101,55,40,1,2,0,0,1,99,2,326
국외부재자투표(공관),,0,7,4,3,0,0,0,0,0,7,0,-7
도평동,소계,3665,2422,574,1621,14,11,18,61,93,2392,30,1243
,관내사전투표,1024,1024,289,655,3,5,7,19,35,1013,11,0
,도평동제1투,1775,959,191,673,7,3,9,24,39,946,13,816
,도평동제2투,866,439,94,293,4,3,2,18,19,433,6,427
불로·봉무동,소계,20137,12746,3533,7912,76,88,105,296,527,12537,209,7391
,관내사전투표,2676,2676,889,1567,13,15,11,54,95,2644,32,0
,불로·봉무동제1투,2301,1197,219,830,7,7,7,32,65,1167,30,1104
,불로·봉무동제2투,3805,2115,528,1349,13,20,23,59,82,2074,41,1690
,불로·봉무동제3투,1913,971,166,697,7,2,11,26,48,957,14,942
,불로·봉무동제4투,3505,1821,435,1183,14,12,16,54,69,1783,38,1684
,불로·봉무동제5투,3154,2158,726,1202,18,22,20,41,95,2124,34,996
,불로·봉무동제6투,2783,1808,570,1084,4,10,17,30,73,1788,20,975
방촌동,소계,15736,10607,2382,6979,70,85,61,279,586,10442,165,5129
,관내사전투표,2646,2646,715,1655,23,17,21,49,132,2612,34,0
,방촌동제1투,1999,1180,265,765,4,6,5,38,78,1161,19,819
,방촌동제2투,2069,1051,197,688,11,16,5,43,72,1032,19,1018
,방촌동제3투,2229,1204,226,810,14,14,11,37,66,1178,26,1025
,방촌동제4투,2732,1890,423,1288,4,12,11,40,95,1873,17,842
,방촌동제5투,2087,1435,323,952,3,9,4,43,76,1410,25,652
,방촌동제6투,1974,1201,233,821,11,11,4,29,67,1176,25,773
해안동,소계,13430,8221,1922,5266,43,61,46,307,415,8060,161,5209
,관내사전투표,2731,2731,832,1625,13,18,13,71,118,2690,41,0
,해안동제1투,2898,1452,310,967,9,10,10,55,59,1420,32,1446
,해안동제2투,2140,1124,223,725,6,12,5,49,83,1103,21,1016
,해안동제3투,2203,1066,195,722,5,7,3,60,49,1041,25,1137
,해안동제4투,1498,817,195,509,4,4,4,28,54,798,19,681
,해안동제5투,1960,1031,167,718,6,10,11,44,52,1008,23,929
안심1동,소계,35029,21367,6502,12595,108,250,141,464,946,21006,361,13662
,관내사전투표,4514,4514,1642,2445,21,51,39,67,175,4440,74,0
,안심1동제1투,3087,1457,316,972,8,5,15,36,87,1439,18,1630
,안심1동제2투,2072,1025,240,646,3,12,11,21,64,997,28,1047
,안심1동제3투,3142,1508,389,935,13,10,18,35,76,1476,32,1634
,안심1동제4투,3061,1638,406,1022,6,14,12,45,96,1601,37,1423
,안심1동제5투,2837,1569,441,936,12,16,14,48,57,1524,45,1268
,안심1동제6투,2419,1381,298,910,14,15,7,39,64,1347,34,1038
,안심1동제7투,3126,1749,493,1081,8,18,5,40,75,1720,29,1377
,안심1동제8투,3678,2160,746,1216,7,37,6,48,86,2146,14,1518
,안심1동제9투,3396,2151,737,1216,7,43,6,45,77,2131,20,1245
,안심1동제10투,3697,2215,794,1216,9,29,8,40,89,2185,30,1482
안심2동,소계,9020,5677,1405,3680,23,48,29,148,248,5581,96,3343
,관내사전투표,1895,1895,619,1107,8,23,6,45,72,1880,15,0
,안심2동제1투,2995,1490,327,1005,8,7,13,39,57,1456,34,1505
,안심2동제2투,2647,1567,321,1063,5,15,7,44,81,1536,31,1080
,안심2동제3투,1483,725,138,505,2,3,3,20,38,709,16,758
안심3·4동,소계,50929,31716,11140,17374,151,340,207,635,1414,31261,455,19213
,관내사전투표,5200,5200,2327,2464,21,79,23,59,186,5159,41,0
,안심3·4동제1투,2634,1331,359,806,10,17,15,38,71,1316,15,1303
,안심3·4동제2투,2748,1371,282,889,5,9,12,44,104,1345,26,1377
,안심3·4동제3투,2600,1495,352,976,9,10,7,42,73,1469,26,1105
,안심3·4동제4투,2498,1515,465,877,6,13,15,36,82,1494,21,983
,안심3·4동제5투,3919,2183,667,1322,10,23,10,36,91,2159,24,1736
,안심3·4동제6투,3663,2065,490,1358,11,30,9,48,76,2022,43,1598
,안심3·4동제7투,3052,1830,480,1144,7,24,8,36,106,1805,25,1222
,안심3·4동제8투,2878,1811,693,936,9,12,17,44,79,1790,21,1067
,안심3·4동제9투,3877,2375,829,1313,14,22,11,51,98,2338,37,1502
,안심3·4동제10투,3114,1860,603,1076,9,16,14,22,83,1823,37,1254
,안심3·4동제11투,3237,1888,685,1008,7,13,17,52,76,1858,30,1349
,안심3·4동제12투,3050,1860,909,782,11,25,12,23,79,1841,19,1190
,안심3·4동제13투,3297,1832,700,934,9,16,13,42,80,1794,38,1465
,안심3·4동제14투,2181,1333,596,594,6,16,13,26,62,1313,20,848
,안심3·4동제15투,2981,1767,703,895,7,15,11,36,68,1735,32,1214
공산동,소계,12745,8156,1763,5507,36,58,57,204,408,8033,123,4589
,관내사전투표,2693,2692,802,1617,13,23,15,45,139,2654,38,1
,공산동제1투,2491,1369,167,1037,9,7,10,50,65,1345,24,1122
,공산동제2투,2723,1460,271,1013,3,13,11,53,74,1438,22,1263
,공산동제3투,3266,1865,444,1233,9,12,14,40,85,1837,28,1401
,공산동제4투,1572,770,79,607,2,3,7,16,45,759,11,802
잘못 투입·구분된 투표지,,0,6,1,3,0,0,0,0,0,4,2,-6
