읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당소병철,미래통합당천하람,민생당기도서,정의당강병택,민중당김선동,국가혁명배당금당정동호,기독자유통일당이정봉,무소속노관규,계,무효투표수,기권수
,관내사전투표,1774,1774,1070,31,32,28,111,6,5,452,1735,39,0
,별량면제1투,1194,534,287,15,14,4,31,2,2,162,517,17,660
,별량면제2투,1149,522,281,19,15,3,34,2,8,145,507,15,627
,별량면제3투,799,465,263,11,15,11,27,1,2,128,458,7,334
상사면,소계,2467,1716,1080,47,9,12,88,2,2,439,1679,37,751
,관내사전투표,908,908,595,17,2,7,58,1,2,216,898,10,0
,상사면제1투,598,298,189,10,2,3,13,1,0,70,288,10,300
,상사면제2투,961,510,296,20,5,2,17,0,0,153,493,17,451
서면,소계,9690,6397,3510,182,38,54,229,15,23,2259,6310,87,3293
,관내사전투표,2507,2507,1466,41,15,16,100,4,7,833,2482,25,0
,서면제1투,686,323,163,11,0,0,5,0,0,138,317,6,363
,서면제2투,978,509,243,33,6,4,20,1,5,185,497,12,469
,서면제3투,2165,1239,663,40,6,9,46,2,4,450,1220,19,926
,서면제4투,2561,1370,723,39,6,18,54,4,7,505,1356,14,1191
,서면제5투,793,449,252,18,5,7,4,4,0,148,438,11,344
황전면,소계,2817,2075,871,33,20,10,307,16,6,744,2007,68,742
,관내사전투표,1261,1261,514,20,12,5,181,13,1,467,1213,48,0
,황전면제1투,710,345,144,7,2,3,38,0,3,141,338,7,365
,황전면제2투,846,469,213,6,6,2,88,3,2,136,456,13,377
월등면,소계,1459,1013,570,17,3,14,63,13,4,309,993,20,446
,관내사전투표,621,621,353,12,2,10,46,5,2,182,612,9,0
,월등면투표소,838,392,217,5,1,4,17,8,2,127,381,11,446
향동,소계,3508,2451,1401,74,8,13,87,1,2,832,2418,33,1057
,관내사전투표,1657,1657,969,32,4,11,55,1,0,568,1640,17,0
,향동투표소,1851,794,432,42,4,2,32,0,2,264,778,16,1057
매곡동,소계,4329,3127,1795,86,22,25,117,12,12,1019,3088,39,1202
,관내사전투표,1923,1923,1127,46,13,14,73,6,6,617,1902,21,0
,매곡동제1투,1192,606,333,23,5,8,19,4,4,200,596,10,586
,매곡동제2투,1214,598,335,17,4,3,25,2,2,202,590,8,616
삼산동,소계,18966,13213,7887,418,84,121,466,34,29,4074,13113,100,5753
,관내사전투표,5655,5655,3603,128,31,39,210,9,6,1590,5616,39,0
,삼산동제1투,1160,512,273,24,10,11,17,2,2,169,508,4,648
,삼산동제2투,1781,1109,658,30,12,25,37,6,4,327,1099,10,672
,삼산동제3투,1414,721,427,24,5,7,31,1,2,216,713,8,693
,삼산동제4투,2827,1524,822,63,7,16,44,9,9,537,1507,17,1303
,삼산동제5투,2382,1369,774,55,9,5,42,5,1,470,1361,8,1013
,삼산동제6투,2107,1180,645,43,6,2,44,2,2,428,1172,8,927
,삼산동제7투,1640,1143,685,51,4,16,41,0,3,337,1137,6,497
조곡동,소계,5443,3710,2051,106,18,22,151,8,14,1289,3659,51,1733
,관내사전투표,1657,1657,940,40,5,10,66,3,4,567,1635,22,0
,조곡동제1투,1919,1182,650,30,8,10,57,2,5,405,1167,15,737
,조곡동제2투,688,299,156,14,1,1,7,1,3,111,294,5,389
,조곡동제3투,1179,572,305,22,4,1,21,2,2,206,563,9,607
덕연동,소계,33865,23321,13264,605,199,201,882,41,53,7922,23167,154,10544
,관내사전투표,8226,8226,4897,152,74,66,350,13,9,2627,8188,38,0
,덕연동제1투,2528,1407,780,55,16,8,32,4,10,491,1396,11,1121
,덕연동제2투,2914,1495,782,54,18,9,56,4,6,552,1481,14,1419
,덕연동제3투,2319,1434,788,37,25,9,49,4,1,514,1427,7,885
,덕연동제4투,2049,1215,651,52,10,17,35,3,6,430,1204,11,834
,덕연동제5투,1955,1220,698,32,7,17,39,3,4,409,1209,11,735
,덕연동제6투,2054,1275,718,33,11,8,46,1,5,444,1266,9,779
,덕연동제7투,1686,923,520,24,3,6,35,3,2,319,912,11,763
,덕연동제8투,2613,1622,909,48,5,21,55,2,4,565,1609,13,991
,덕연동제9투,2427,1490,851,43,10,13,75,2,2,482,1478,12,937
,덕연동제10투,2240,1281,749,28,7,17,45,2,1,426,1275,6,959
,덕연동제11투,2854,1733,921,47,13,10,65,0,3,663,1722,11,1121
풍덕동,소계,7452,5288,3121,148,46,33,172,16,11,1685,5232,56,2164
,관내사전투표,2670,2670,1636,60,20,20,79,10,4,815,2644,26,0
,풍덕동제1투,1079,460,249,17,7,3,17,0,3,162,458,2,619
,풍덕동제2투,1425,808,501,30,7,4,27,1,1,227,798,10,617
,풍덕동제3투,2278,1350,735,41,12,6,49,5,3,481,1332,18,928
남제동,소계,7590,4809,2816,122,36,29,164,8,16,1554,4745,64,2781
,관내사전투표,2413,2412,1438,49,11,18,86,5,2,779,2388,24,1
,남제동제1투,1252,583,343,15,1,4,17,1,3,185,569,14,669
,남제동제2투,1271,586,315,14,11,3,24,1,5,204,577,9,685
,남제동제3투,2654,1228,720,44,13,4,37,1,6,386,1211,17,1426
저전동,소계,3172,2415,1396,40,7,23,71,10,7,826,2380,35,757
,관내사전투표,1699,1699,1035,22,4,14,48,4,5,544,1676,23,0
,저전동투표소,1473,716,361,18,3,9,23,6,2,282,704,12,757
장천동,소계,2656,1782,1027,63,10,13,49,3,1,591,1757,25,874
,관내사전투표,1140,1140,649,34,4,6,35,3,0,399,1130,10,0
,장천동투표소,1516,642,378,29,6,7,14,0,1,192,627,15,874
중앙동,소계,3470,2465,1416,63,14,9,69,8,4,853,2436,29,1005
,관내사전투표,1709,1709,999,38,13,8,43,4,1,590,1696,13,0
,중앙동투표소,1761,756,417,25,1,1,26,4,3,263,740,16,1005
도사동,소계,13434,9071,5387,213,58,71,403,20,25,2795,8972,99,4363
,관내사전투표,4188,4188,2524,64,21,35,190,6,10,1301,4151,37,0
,도사동제1투,2276,1013,549,40,7,7,42,3,9,337,994,19,1263
,도사동제2투,1271,613,372,19,2,4,26,5,3,170,601,12,658
,도사동제3투,992,533,328,15,11,4,21,0,0,143,522,11,459
,도사동제4투,2261,1331,773,33,8,10,62,1,1,434,1322,9,930
,도사동제5투,2446,1393,841,42,9,11,62,5,2,410,1382,11,1053
왕조1동,소계,30003,19965,11433,750,138,197,788,33,64,6384,19787,178,10038
,관내사전투표,7438,7438,4422,208,54,67,305,13,9,2299,7377,61,0
,왕조1동제1투,2201,1261,712,56,10,12,37,4,5,418,1254,7,940
,왕조1동제2투,2055,912,509,33,2,12,57,2,5,279,899,13,1143
,왕조1동제3투,2215,942,518,43,6,8,44,2,7,300,928,14,1273
,왕조1동제4투,1822,1136,635,36,5,4,54,2,4,392,1132,4,686
,왕조1동제5투,1399,807,465,22,13,7,23,1,6,266,803,4,592
,왕조1동제6투,1334,716,398,27,9,11,24,4,6,208,687,29,618
,왕조1동제7투,2330,1005,558,50,5,11,42,2,10,317,995,10,1325
,왕조1동제8투,2333,1354,698,50,7,12,43,2,1,528,1341,13,979
,왕조1동제9투,2890,1881,1061,52,11,28,77,0,10,628,1867,14,1009
,왕조1동제10투,2168,1389,772,102,13,13,43,1,0,439,1383,6,779
,왕조1동제11투,1818,1124,685,71,3,12,39,0,1,310,1121,3,694
왕조2동,소계,15668,11200,6547,282,67,117,583,23,37,3479,11135,65,4468
,관내사전투표,5476,5475,3378,100,25,63,292,6,5,1578,5447,28,1
,왕조2동제1투,2126,1324,729,39,5,6,59,8,3,467,1316,8,802
,왕조2동제2투,1892,932,503,46,8,11,57,3,15,279,922,10,960
,왕조2동제3투,1554,909,550,23,7,7,47,1,5,262,902,7,645
,왕조2동제4투,1984,1094,617,29,13,11,52,2,2,363,1089,5,890
,왕조2동제5투,2636,1466,770,45,9,19,76,3,7,530,1459,7,1170
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0
