읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서동용,미래통합당김창남,정의당이경자,민중당유현주,국가혁명배당금당고주석,무소속정인화,무소속김종수,계,무효투표수,기권수
합계,,25904,18214,13635,802,704,351,102,2081,205,17880,334,7690
거소·선상투표,,91,88,38,8,4,2,0,15,4,71,17,3
관외사전투표,,2147,2146,1612,117,102,50,14,195,25,2115,31,1
국외부재자투표,,46,14,12,1,0,1,0,0,0,14,0,32
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0
곡성읍,소계,6528,4413,3251,172,150,76,16,655,41,4361,52,2115
,관내사전투표,2343,2343,1758,77,83,42,4,338,19,2321,22,0
,곡성읍제1투,997,536,373,31,9,7,1,103,6,530,6,461
,곡성읍제2투,1034,500,358,15,19,7,4,83,9,495,5,534
,곡성읍제3투,1349,642,463,32,23,14,5,89,4,630,12,707
,곡성읍제4투,805,392,299,17,16,6,2,42,3,385,7,413
오곡면,소계,1609,1115,780,38,37,12,7,212,10,1096,19,494
,관내사전투표,566,566,402,17,19,8,3,106,4,559,7,0
,오곡면투표소,1043,549,378,21,18,4,4,106,6,537,12,494
삼기면,소계,1386,906,692,39,44,17,8,76,10,886,20,480
,관내사전투표,487,487,377,15,25,9,4,45,5,480,7,0
,삼기면투표소,899,419,315,24,19,8,4,31,5,406,13,480
석곡면,소계,2225,1599,1259,64,48,14,13,142,24,1564,35,626
,관내사전투표,1101,1101,897,39,33,7,7,85,12,1080,21,0
,석곡면투표소,1124,498,362,25,15,7,6,57,12,484,14,626
목사동면,소계,1070,679,530,27,22,15,1,58,10,663,16,391
,관내사전투표,419,419,333,13,14,9,1,36,7,413,6,0
,목사동면투표소,651,260,197,14,8,6,0,22,3,250,10,391
죽곡면,소계,1545,1096,809,61,34,13,4,137,14,1072,24,449
,관내사전투표,657,657,503,24,22,9,1,78,10,647,10,0
,죽곡면투표소,888,439,306,37,12,4,3,59,4,425,14,449
고달면,소계,1035,725,570,24,35,5,3,63,9,709,16,310
,관내사전투표,310,310,230,11,17,3,1,35,3,300,10,0
,고달면투표소,725,415,340,13,18,2,2,28,6,409,6,310
옥과면,소계,3635,2373,1838,107,95,46,15,218,20,2339,34,1262
,관내사전투표,1307,1307,1026,41,43,29,9,135,7,1290,17,0
,옥과면제1투,1613,696,529,34,29,9,6,69,7,683,13,917
,옥과면제2투,715,370,283,32,23,8,0,14,6,366,4,345
입면,소계,1966,1315,1020,50,59,47,5,88,15,1284,31,651
,관내사전투표,799,799,633,27,33,29,5,46,8,781,18,0
,입면투표소,1167,516,387,23,26,18,0,42,7,503,13,651
겸면,소계,1436,984,691,58,48,42,10,96,14,959,25,452
,관내사전투표,596,596,428,25,30,24,5,56,9,577,19,0
,겸면투표소,840,388,263,33,18,18,5,40,5,382,6,452
오산면,소계,1185,760,532,36,26,11,6,126,9,746,14,425
,관내사전투표,405,405,295,13,11,8,2,65,4,398,7,0
,오산면투표소,780,355,237,23,15,3,4,61,5,348,7,425
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,0,0,1,0,-1
