읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서동용,미래통합당김창남,정의당이경자,민중당유현주,국가혁명배당금당고주석,무소속정인화,무소속김종수,계,무효투표수,기권수
합계,,166390,109721,67346,4724,3056,2757,422,28941,1110,108356,1365,56669
거소·선상투표,,398,376,209,28,17,8,7,81,14,364,12,22
관외사전투표,,12553,12548,8385,761,388,351,70,2076,219,12250,298,5
국외부재자투표,,247,75,56,9,2,0,0,8,0,75,0,172
국외부재자투표(공관),,0,1,1,0,0,0,0,0,0,1,0,-1
광양읍,소계,37738,24189,14641,639,569,546,116,7317,129,23957,232,13549
,관내사전투표,10088,10084,6300,162,228,204,34,3058,31,10017,67,4
,광양읍제1투,1971,1002,598,33,13,20,8,308,6,986,16,969
,광양읍제2투,2318,960,539,34,18,24,4,320,5,944,16,1358
,광양읍제3투,680,384,229,18,5,9,7,106,3,377,7,296
,광양읍제4투,2668,1364,854,45,30,28,9,367,9,1342,22,1304
,광양읍제5투,487,273,173,6,7,6,4,73,1,270,3,214
,광양읍제6투,487,293,165,5,5,5,12,93,1,286,7,194
,광양읍제7투,802,482,311,7,5,12,2,135,3,475,7,320
,광양읍제8투,2540,974,585,48,36,28,4,243,15,959,15,1566
,광양읍제9투,3812,1817,1184,66,55,48,8,429,9,1799,18,1995
,광양읍제10투,1670,812,500,34,17,19,7,218,2,797,15,858
,광양읍제11투,2587,1316,722,52,32,29,7,449,11,1302,14,1271
,광양읍제12투,3241,1774,967,55,59,62,6,587,22,1758,16,1467
,광양읍제13투,2858,1704,984,41,41,36,1,589,6,1698,6,1154
,광양읍제14투,1529,950,530,33,18,16,3,342,5,947,3,579
봉강면,소계,1869,1304,646,31,23,19,4,549,7,1279,25,565
,관내사전투표,617,617,289,15,14,9,1,271,1,600,17,0
,봉강면제1투,466,257,153,5,2,4,1,90,0,255,2,209
,봉강면제2투,786,430,204,11,7,6,2,188,6,424,6,356
옥룡면,소계,2800,2007,880,50,48,23,17,932,17,1967,40,793
,관내사전투표,1073,1073,483,16,26,16,10,499,7,1057,16,0
,옥룡면제1투,951,499,234,16,13,6,6,204,5,484,15,452
,옥룡면제2투,776,435,163,18,9,1,1,229,5,426,9,341
옥곡면,소계,2651,1835,906,40,37,26,10,771,13,1803,32,816
,관내사전투표,1068,1068,526,15,18,12,4,471,5,1051,17,0
,옥곡면투표소,1583,767,380,25,19,14,6,300,8,752,15,816
진상면,소계,2637,1808,1039,42,36,29,3,593,13,1755,53,829
