읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정태호,미래통합당오신환,민생당한인수,우리공화당박현성,민중당김한영,국가혁명배당금당서희성,무소속류현선,계,무효투표수,기권수
,서원동제5투,3197,1615,828,695,32,6,17,4,6,1588,27,1582
신원동,소계,15876,9578,5062,3916,159,63,115,47,82,9444,134,6298
,관내사전투표,4092,4091,2391,1529,43,9,43,14,23,4052,39,1
,신원동제1투,3485,1473,685,670,29,8,20,10,16,1438,35,2012
,신원동제2투,2607,1240,554,585,26,10,19,6,16,1216,24,1367
,신원동제3투,2714,1304,673,522,27,17,20,8,13,1280,24,1410
,신원동제4투,2978,1470,759,610,34,19,13,9,14,1458,12,1508
서림동,소계,19199,11619,5971,4953,190,47,138,65,96,11460,159,7580
,관내사전투표,3095,3095,1974,997,36,8,28,8,15,3066,29,0
,서림동제1투,3459,1668,791,752,43,9,17,12,13,1637,31,1791
,서림동제2투,2922,2073,892,1105,19,7,12,4,14,2053,20,849
,서림동제3투,2867,1296,588,601,25,7,22,10,17,1270,26,1571
,서림동제4투,3570,1655,786,725,29,13,37,16,21,1627,28,1915
,서림동제5투,3286,1832,940,773,38,3,22,15,16,1807,25,1454
삼성동,소계,21321,14347,7542,6175,175,69,104,57,76,14198,149,6974
,관내사전투표,4969,4969,2998,1775,57,14,40,13,18,4915,54,0
,삼성동제1투,2432,1016,452,506,11,9,8,10,8,1004,12,1416
,삼성동제2투,2801,1617,772,737,21,16,16,11,15,1588,29,1184
,삼성동제3투,3084,1784,853,861,24,7,10,11,5,1771,13,1300
,삼성동제4투,2367,1334,635,633,20,8,11,5,8,1320,14,1033
,삼성동제5투,2569,1490,798,627,25,10,10,1,5,1476,14,1079
,삼성동제6투,3099,2137,1034,1036,17,5,9,6,17,2124,13,962
대학동,소계,20210,12442,6555,5168,199,61,157,61,88,12289,153,7768
,관내사전투표,5240,5240,3226,1770,76,14,65,15,28,5194,46,0
,대학동제1투,4245,1771,772,845,42,23,26,9,20,1737,34,2474
,대학동제2투,3017,1826,781,961,22,5,17,6,10,1802,24,1191
,대학동제3투,3948,1915,982,815,28,8,28,21,15,1897,18,2033
,대학동제4투,3760,1690,794,777,31,11,21,10,15,1659,31,2070
잘못 투입·구분된 투표지,,0,6,2,3,0,0,0,0,1,6,0,-6
