읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당나소열,미래통합당김태흠,계,무효투표수,기권수
합계,,47346,32803,18295,13952,32247,556,14543
거소·선상투표,,246,225,136,82,218,7,21
관외사전투표,,2138,2137,1419,678,2097,40,1
국외부재자투표,,94,29,19,10,29,0,65
국외부재자투표(공관),,0,0,0,0,0,0,0
장항읍,소계,9487,6048,3262,2709,5971,77,3439
,관내사전투표,2465,2465,1443,991,2434,31,0
,장항읍제1투,1438,670,335,329,664,6,768
,장항읍제2투,1987,984,549,425,974,10,1003
,장항읍제3투,2124,1134,543,571,1114,20,990
,장항읍제4투,1473,795,392,393,785,10,678
서천읍,소계,11119,7770,4470,3207,7677,93,3349
,관내사전투표,3638,3638,2220,1377,3597,41,0
,서천읍제1투,1533,834,404,417,821,13,699
,서천읍제2투,1115,564,298,256,554,10,551
,서천읍제3투,1216,630,319,306,625,5,586
,서천읍제4투,1380,796,447,337,784,12,584
,서천읍제5투,2237,1308,782,514,1296,12,929
마서면,소계,4308,2789,1689,1048,2737,52,1519
,관내사전투표,1006,1006,651,341,992,14,0
,마서면제1투,1029,532,314,208,522,10,497
,마서면제2투,1167,676,399,266,665,11,491
,마서면제3투,1106,575,325,233,558,17,531
화양면,소계,2026,1474,786,651,1437,37,552
,관내사전투표,781,781,418,337,755,26,0
,화양면제1투,692,352,185,157,342,10,340
,화양면제2투,553,341,183,157,340,1,212
기산면,소계,1526,1045,526,491,1017,28,481
,관내사전투표,616,616,314,282,596,20,0
,기산면투표소,910,429,212,209,421,8,481
한산면,소계,2394,1703,946,734,1680,23,691
,관내사전투표,1057,1057,610,432,1042,15,0
,한산면투표소,1337,646,336,302,638,8,691
마산면,소계,1326,952,519,409,928,24,374
,관내사전투표,452,452,253,184,437,15,0
,마산면투표소,874,500,266,225,491,9,374
시초면,소계,1116,760,402,339,741,19,356
,관내사전투표,374,374,217,147,364,10,0
,시초면투표소,742,386,185,192,377,9,356
문산면,소계,1201,859,416,422,838,21,342
,관내사전투표,422,422,227,188,415,7,0
,문산면투표소,779,437,189,234,423,14,342
판교면,소계,1962,1438,656,752,1408,30,524
,관내사전투표,760,759,349,389,738,21,1
,판교면투표소,1202,679,307,363,670,9,523
종천면,소계,1839,1277,649,604,1253,24,562
,관내사전투표,592,592,340,242,582,10,0
,종천면제1투,571,299,152,141,293,6,272
,종천면제2투,676,386,157,221,378,8,290
비인면,소계,2770,1858,1090,736,1826,32,912
,관내사전투표,811,811,474,319,793,18,0
,비인면제1투,1209,639,363,266,629,10,570
,비인면제2투,750,408,253,151,404,4,342
서면,소계,3794,2438,1309,1080,2389,49,1356
,관내사전투표,909,909,519,375,894,15,0
,서면제1투,1081,561,255,290,545,16,520
,서면제2투,1804,968,535,415,950,18,836
잘못 투입·구분된 투표지,,0,1,1,0,1,0,-1
