읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당송재호,미래통합당장성철,정의당고병수,우리공화당문대탄,무소속현용식,무소속박희수,무소속임효준,계,무효투표수,기권수
,애월읍제3투,2481,1231,483,549,118,7,6,44,5,1212,19,1250
,애월읍제4투,3155,1563,729,623,93,7,8,72,10,1542,21,1592
,애월읍제5투,1045,664,305,273,48,5,1,22,3,657,7,381
,애월읍제6투,3178,1726,780,656,155,9,8,89,5,1702,24,1452
,애월읍제7투,931,536,187,311,14,2,3,11,2,530,6,395
,애월읍제8투,1202,701,270,360,30,3,3,21,2,689,12,501
,애월읍제9투,982,541,210,275,28,4,2,16,1,536,5,441
,애월읍제10투,901,559,243,240,31,3,4,25,1,547,12,342
,애월읍제11투,3783,1922,954,741,119,10,8,68,3,1903,19,1861
,애월읍제12투,1204,680,335,264,52,6,2,11,1,671,9,524
,애월읍제13투,1234,685,353,244,46,3,1,30,2,679,6,549
한경면,소계,7282,4313,2032,1675,345,26,23,127,29,4257,56,2969
,관내사전투표,1255,1255,708,387,94,3,5,42,3,1242,13,0
,한경면제1투,601,349,160,144,26,1,3,4,4,342,7,252
,한경면제2투,832,430,169,211,27,1,0,16,3,427,3,402
,한경면제3투,1630,748,357,301,38,3,5,24,10,738,10,882
,한경면제4투,1346,685,295,301,39,2,8,22,3,670,15,661
,한경면제5투,1618,846,343,331,121,16,2,19,6,838,8,772
추자면,소계,1432,854,375,375,19,5,5,47,10,836,18,578
,관내사전투표,361,361,174,147,9,1,1,21,2,355,6,0
,추자면제1투,613,257,91,135,4,1,1,15,5,252,5,356
,추자면제2투,458,236,110,93,6,3,3,11,3,229,7,222
삼도1동,소계,10938,6688,2970,2585,439,48,27,516,29,6614,74,4250
,관내사전투표,2445,2445,1217,843,153,7,7,193,8,2428,17,0
,삼도1동제1투,2211,1136,508,457,76,17,3,62,6,1129,7,1075
,삼도1동제2투,1780,933,373,394,60,9,4,73,7,920,13,847
,삼도1동제3투,2380,1120,471,431,82,6,8,102,3,1103,17,1260
,삼도1동제4투,2122,1054,401,460,68,9,5,86,5,1034,20,1068
삼도2동,소계,6459,3606,1593,1411,280,24,15,237,12,3572,34,2853
,관내사전투표,954,954,475,326,82,9,2,52,3,949,5,0
,삼도2동제1투,1913,867,395,313,79,6,5,59,1,858,9,1046
,삼도2동제2투,1594,736,288,327,43,7,5,57,3,730,6,858
,삼도2동제3투,1998,1049,435,445,76,2,3,69,5,1035,14,949
용담1동,소계,5827,3282,1440,1244,260,30,9,248,14,3245,37,2545
,관내사전투표,1046,1046,513,368,80,11,1,64,2,1039,7,0
,용담1동제1투,1803,791,332,324,51,4,2,67,3,783,8,1012
,용담1동제2투,1501,690,280,275,54,10,2,52,5,678,12,811
,용담1동제3투,1477,755,315,277,75,5,4,65,4,745,10,722
용담2동,소계,11839,6843,3040,2551,508,55,29,556,28,6767,76,4996
,관내사전투표,2333,2333,1126,838,137,15,8,178,11,2313,20,0
,용담2동제1투,1853,838,350,320,63,11,3,81,3,831,7,1015
,용담2동제2투,2066,883,357,354,81,12,8,57,2,871,12,1183
,용담2동제3투,1765,889,394,299,80,4,5,80,7,869,20,876
,용담2동제4투,1821,843,377,314,65,6,4,67,3,836,7,978
,용담2동제5투,2001,1057,436,426,82,7,1,93,2,1047,10,944
오라동,소계,11367,7128,3521,2262,489,40,22,703,17,7054,74,4239
,관내사전투표,2893,2893,1522,864,197,13,9,260,6,2871,22,0
,오라동제1투,3086,1590,676,600,111,19,4,157,5,1572,18,1496
,오라동제2투,5388,2645,1323,798,181,8,9,286,6,2611,34,2743
연동,소계,33534,18615,8841,7106,1255,134,55,1002,66,18459,156,14919
,관내사전투표,5999,5999,3173,1979,402,20,16,350,18,5958,41,0
,연동제1투,2808,1181,488,522,66,12,6,71,5,1170,11,1627
,연동제2투,3984,1826,791,741,124,21,6,116,15,1814,12,2158
,연동제3투,3679,1596,729,632,104,19,3,85,7,1579,17,2083
,연동제4투,3458,1211,529,521,71,9,2,56,7,1195,16,2247
,연동제5투,3662,1996,942,772,158,8,6,93,3,1982,14,1666
,연동제6투,3436,1692,836,594,122,16,6,98,6,1678,14,1744
,연동제7투,2395,1049,438,499,58,8,4,32,1,1040,9,1346
,연동제8투,4113,2065,915,846,150,21,6,101,4,2043,22,2048
노형동,소계,39975,24390,12073,8593,1916,109,82,1327,80,24180,210,15585
,관내사전투표,6745,6745,3813,2024,492,24,23,314,14,6704,41,0
,노형동제1투,2231,1202,572,450,73,8,5,87,1,1196,6,1029
,노형동제2투,2646,1484,664,582,112,4,5,92,7,1466,18,1162
,노형동제3투,4181,1811,793,711,140,9,9,110,8,1780,31,2370
,노형동제4투,3622,2242,1097,837,150,11,4,108,11,2218,24,1380
,노형동제5투,3077,1533,755,514,138,9,7,92,6,1521,12,1544
,노형동제6투,5208,2420,1144,902,196,7,10,134,11,2404,16,2788
,노형동제7투,1349,767,371,295,65,0,1,29,1,762,5,582
,노형동제8투,3851,2022,962,730,177,12,6,105,5,1997,25,1829
,노형동제9투,3022,1670,798,573,151,11,4,106,8,1651,19,1352
,노형동제10투,4043,2494,1104,975,222,14,8,150,8,2481,13,1549
외도동,소계,16776,10421,5887,3024,816,45,35,476,46,10329,92,6355
,관내사전투표,4231,4231,2600,1100,287,15,16,176,15,4209,22,0
,외도동제1투,3818,1697,840,596,132,12,5,82,6,1673,24,2121
,외도동제2투,1712,877,480,244,83,4,3,47,5,866,11,835
,외도동제3투,4288,2063,1086,640,180,13,7,104,11,2041,22,2225
,외도동제4투,2727,1553,881,444,134,1,4,67,9,1540,13,1174
이호동,소계,3880,2484,1249,884,158,8,7,142,7,2455,29,1396
,관내사전투표,974,974,556,292,65,3,2,50,1,969,5,0
,이호동제1투,943,471,204,189,31,1,0,31,4,460,11,472
,이호동제2투,1963,1039,489,403,62,4,5,61,2,1026,13,924
도두동,소계,2815,1833,920,653,108,12,21,107,3,1824,9,982
,관내사전투표,809,809,442,242,51,7,5,57,1,805,4,0
,도두동제1투,1321,631,294,262,33,2,0,35,1,627,4,690
,도두동제2투,685,393,184,149,24,3,16,15,1,392,1,292
잘못 투입·구분된 투표지,,0,2,1,0,1,0,0,0,0,2,0,-2
