읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
,삼각동제1투,3668,1565,1165,159,31,95,12,37,41,4,1544,21,2103
,삼각동제2투,2075,1225,925,135,30,70,11,15,16,7,1209,16,850
,삼각동제3투,2004,839,660,68,25,34,6,3,21,2,819,20,1165
일곡동,소계,22326,14624,11085,1547,481,766,61,140,334,46,14460,164,7702
,관내사전투표,6083,6083,4790,627,178,268,14,31,107,15,6030,53,0
,일곡동제1투,3502,1771,1339,150,70,109,7,21,54,5,1755,16,1731
,일곡동제2투,2769,1150,856,115,33,64,6,20,37,6,1137,13,1619
,일곡동제3투,1809,967,733,92,29,56,5,7,25,3,950,17,842
,일곡동제4투,2549,1348,1020,142,40,64,9,14,44,4,1337,11,1201
,일곡동제5투,2814,1800,1311,206,65,123,10,18,31,7,1771,29,1014
,일곡동제6투,2800,1505,1036,215,66,82,10,29,36,6,1480,25,1295
매곡동,소계,11907,8438,6643,890,233,347,33,64,135,26,8371,67,3469
,관내사전투표,4594,4593,3680,499,110,177,16,19,54,6,4561,32,1
,매곡동제1투,1960,961,765,89,34,35,1,11,14,4,953,8,999
,매곡동제2투,2304,1167,863,134,30,66,10,16,32,6,1157,10,1137
,매곡동제3투,3049,1717,1335,168,59,69,6,18,35,10,1700,17,1332
건국동,소계,33631,19936,15937,2005,573,490,90,203,371,59,19728,208,13695
,관내사전투표,5305,5304,4336,553,116,128,16,20,79,7,5255,49,1
,건국동제1투,3291,1683,1370,131,68,43,9,14,23,9,1667,16,1608
,건국동제2투,2439,1386,1083,154,31,41,5,9,40,7,1370,16,1053
,건국동제3투,2829,1538,1218,125,38,48,8,36,33,6,1512,26,1291
,건국동제4투,3651,1766,1413,165,54,47,8,30,22,5,1744,22,1885
,건국동제5투,3159,1633,1244,196,52,42,11,24,43,5,1617,16,1526
,건국동제6투,1821,815,642,93,23,10,4,15,11,4,802,13,1006
,건국동제7투,4269,2219,1788,216,80,46,7,26,34,1,2198,21,2050
,건국동제8투,4027,2322,1862,228,80,53,16,9,56,7,2311,11,1705
,건국동제9투,2840,1270,981,144,31,32,6,20,30,8,1252,18,1570
양산동,소계,27530,16627,13032,1848,455,498,75,155,353,60,16476,151,10903
,관내사전투표,7057,7056,5646,785,177,206,25,37,120,19,7015,41,1
,양산동제1투,4546,1773,1380,193,42,42,12,21,53,8,1751,22,2773
,양산동제2투,3334,1459,1111,176,44,45,10,16,35,10,1447,12,1875
,양산동제3투,2928,1509,1135,180,43,72,5,16,38,2,1491,18,1419
,양산동제4투,3619,1887,1483,186,63,56,9,26,30,11,1864,23,1732
,양산동제5투,3393,1667,1306,176,50,44,6,17,41,6,1646,21,1726
,양산동제6투,2653,1276,971,152,36,33,8,22,36,4,1262,14,1377
잘못 투입·구분된 투표지,,0,8,5,0,1,1,0,0,0,0,7,1,-8
