읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당윤준병,민생당유성엽,계,무효투표수,기권수
합계,,49131,32966,24078,7995,32073,893,16165
거소·선상투표,,277,260,160,75,235,25,17
관외사전투표,,3000,2999,2260,676,2936,63,1
국외부재자투표,,85,18,13,5,18,0,67
국외부재자투표(공관),,0,0,0,0,0,0,0
고창읍,소계,15942,10243,7420,2640,10060,183,5699
,관내사전투표,4936,4936,3693,1182,4875,61,0
,고창읍제1투,1302,613,415,188,603,10,689
,고창읍제2투,1601,784,558,217,775,9,817
,고창읍제3투,1637,795,575,206,781,14,842
,고창읍제4투,1234,615,398,198,596,19,619
,고창읍제5투,1208,550,344,187,531,19,658
,고창읍제6투,1586,810,584,203,787,23,776
,고창읍제7투,2438,1140,853,259,1112,28,1298
고수면,소계,2132,1453,1008,394,1402,51,679
,관내사전투표,835,835,585,226,811,24,0
,고수면투표소,1297,618,423,168,591,27,679
아산면,소계,2445,1613,1085,490,1575,38,832
,관내사전투표,785,785,529,237,766,19,0
,아산면제1투,1086,512,339,162,501,11,574
,아산면제2투,574,316,217,91,308,8,258
무장면,소계,2490,1605,1196,347,1543,62,885
,관내사전투표,756,756,589,150,739,17,0
,무장면투표소,1734,849,607,197,804,45,885
공음면,소계,2231,1462,1138,281,1419,43,769
,관내사전투표,718,718,571,129,700,18,0
,공음면제1투,866,408,307,84,391,17,458
,공음면제2투,647,336,260,68,328,8,311
상하면,소계,2144,1398,1103,249,1352,46,746
,관내사전투표,668,668,527,120,647,21,0
,상하면투표소,1476,730,576,129,705,25,746
해리면,소계,2582,1632,1253,331,1584,48,950
,관내사전투표,830,830,635,171,806,24,0
,해리면제1투,1016,434,323,98,421,13,582
,해리면제2투,736,368,295,62,357,11,368
성송면,소계,1639,1074,752,279,1031,43,565
,관내사전투표,486,486,344,130,474,12,0
,성송면제1투,666,351,240,88,328,23,315
,성송면제2투,487,237,168,61,229,8,250
대산면,소계,3050,1942,1477,407,1884,58,1108
,관내사전투표,872,872,677,171,848,24,0
,대산면제1투,1299,591,432,140,572,19,708
,대산면제2투,879,479,368,96,464,15,400
심원면,소계,2273,1477,1093,343,1436,41,796
,관내사전투표,753,753,572,161,733,20,0
,심원면투표소,1520,724,521,182,703,21,796
흥덕면,소계,2818,1869,1376,444,1820,49,949
,관내사전투표,954,954,733,200,933,21,0
,흥덕면제1투,1011,499,357,129,486,13,512
,흥덕면제2투,853,416,286,115,401,15,437
성내면,소계,1735,1157,703,412,1115,42,578
,관내사전투표,583,583,368,190,558,25,0
,성내면제1투,626,314,180,125,305,9,312
,성내면제2투,526,260,155,97,252,8,266
신림면,소계,1934,1256,925,288,1213,43,678
,관내사전투표,697,697,509,163,672,25,0
,신림면제1투,687,295,226,62,288,7,392
,신림면제2투,550,264,190,63,253,11,286
부안면,소계,2354,1507,1116,333,1449,58,847
,관내사전투표,810,810,603,178,781,29,0
,부안면제1투,834,362,275,73,348,14,472
,부안면제2투,710,335,238,82,320,15,375
잘못 투입·구분된 투표지,,0,1,0,1,1,0,-1
