읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이상직,미래통합당이수진,민생당조형철,정의당오형수,국가혁명배당금당김주완,무소속성치두,무소속최형재,계,무효투표수,기권수
합계,,165905,109358,67568,7101,3853,4543,428,2848,21697,108038,1320,56547
거소·선상투표,,412,383,192,45,33,21,4,26,38,359,24,29
관외사전투표,,14574,14560,9366,908,473,666,63,520,2300,14296,264,14
국외부재자투표,,390,70,52,8,0,4,1,0,5,70,0,320
국외부재자투표(공관),,0,11,10,0,1,0,0,0,0,11,0,-11
서신동,소계,29655,18717,11604,1145,678,818,68,596,3592,18501,216,10938
,관내사전투표,6303,6302,4262,292,171,242,22,154,1106,6249,53,1
,서신동제1투,2169,1110,645,65,61,45,7,44,225,1092,18,1059
,서신동제2투,2628,1111,678,90,53,49,6,42,177,1095,16,1517
,서신동제3투,1599,901,470,94,35,61,5,28,196,889,12,698
,서신동제4투,1361,740,421,75,33,26,1,54,118,728,12,621
,서신동제5투,2245,1055,632,50,54,58,4,35,211,1044,11,1190
,서신동제6투,1804,1070,663,58,50,53,2,38,185,1049,21,734
,서신동제7투,1981,1042,670,53,47,57,5,33,158,1023,19,939
,서신동제8투,2925,1752,1017,108,58,72,3,71,408,1737,15,1173
,서신동제9투,2731,1693,1067,86,65,86,5,40,325,1674,19,1038
,서신동제10투,3909,1941,1079,174,51,69,8,57,483,1921,20,1968
삼천1동,소계,9699,6166,3942,402,231,243,28,145,1117,6108,58,3533
,관내사전투표,2614,2614,1763,143,97,93,9,53,438,2596,18,0
,삼천1동제1투,1834,825,541,73,17,23,5,19,139,817,8,1009
,삼천1동제2투,3259,1883,1102,132,83,81,8,51,409,1866,17,1376
,삼천1동제3투,1992,844,536,54,34,46,6,22,131,829,15,1148
삼천2동,소계,11370,6793,4446,428,254,266,27,135,1134,6690,103,4577
,관내사전투표,2851,2850,1990,139,91,122,10,36,424,2812,38,1
,삼천2동제1투,2237,851,530,55,30,32,6,25,154,832,19,1386
,삼천2동제2투,1572,698,446,26,38,25,2,19,131,687,11,874
,삼천2동제3투,2448,1406,845,135,54,58,5,36,254,1387,19,1042
,삼천2동제4투,2262,988,635,73,41,29,4,19,171,972,16,1274
삼천3동,소계,17508,11607,7276,605,348,496,48,239,2480,11492,115,5901
,관내사전투표,4674,4674,3083,171,120,208,16,63,976,4637,37,0
,삼천3동제1투,2201,1116,639,83,34,49,7,22,270,1104,12,1085
,삼천3동제2투,981,478,300,35,17,19,6,12,81,470,8,503
,삼천3동제3투,2391,1306,822,74,50,57,2,36,254,1295,11,1085
,삼천3동제4투,2267,1341,820,77,46,66,5,32,282,1328,13,926
,삼천3동제5투,2541,1286,764,96,42,39,8,33,287,1269,17,1255
,삼천3동제6투,2453,1406,848,69,39,58,4,41,330,1389,17,1047
