읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당윤준병,민생당유성엽,계,무효투표수,기권수
합계,,95608,62486,41004,20191,61195,1291,33122
거소·선상투표,,393,357,192,139,331,26,36
관외사전투표,,4695,4694,3077,1490,4567,127,1
국외부재자투표,,153,38,30,8,38,0,115
국외부재자투표(공관),,0,1,0,1,1,0,-1
신태인읍,소계,5077,3162,2284,798,3082,80,1915
,관내사전투표,1540,1540,1164,344,1508,32,0
,신태인읍제1투,1500,663,450,200,650,13,837
,신태인읍제2투,1169,506,360,130,490,16,663
,신태인읍제3투,868,453,310,124,434,19,415
북면,소계,3959,2496,1661,785,2446,50,1463
,관내사전투표,1353,1353,931,401,1332,21,0
,북면제1투,1343,557,335,210,545,12,786
,북면제2투,1263,586,395,174,569,17,677
입암면,소계,2588,1703,1279,383,1662,41,885
,관내사전투표,765,764,574,175,749,15,1
,입암면제1투,887,426,312,105,417,9,461
,입암면제2투,936,513,393,103,496,17,423
소성면,소계,1849,1202,751,417,1168,34,647
,관내사전투표,593,593,384,194,578,15,0
,소성면투표소,1256,609,367,223,590,19,647
고부면,소계,2531,1540,998,484,1482,58,991
,관내사전투표,724,724,480,230,710,14,0
,고부면투표소,1807,816,518,254,772,44,991
영원면,소계,1570,1087,731,321,1052,35,483
,관내사전투표,601,601,414,166,580,21,0
,영원면투표소,969,486,317,155,472,14,483
덕천면,소계,1678,1142,757,345,1102,40,536
,관내사전투표,540,540,365,155,520,20,0
,덕천면제1투,603,293,189,98,287,6,310
,덕천면제2투,535,309,203,92,295,14,226
이평면,소계,1851,1183,771,383,1154,29,668
,관내사전투표,569,569,377,182,559,10,0
,이평면제1투,776,352,224,116,340,12,424
,이평면제2투,506,262,170,85,255,7,244
정우면,소계,2196,1324,814,472,1286,38,872
,관내사전투표,686,686,427,241,668,18,0
,정우면투표소,1510,638,387,231,618,20,872
태인면,소계,3095,1974,1215,715,1930,44,1121
,관내사전투표,969,969,625,332,957,12,0
,태인면제1투,1168,602,341,239,580,22,566
,태인면제2투,958,403,249,144,393,10,555
감곡면,소계,2421,1444,1003,390,1393,51,977
,관내사전투표,781,779,556,196,752,27,2
,감곡면투표소,1640,665,447,194,641,24,975
옹동면,소계,1490,1002,437,533,970,32,488
,관내사전투표,445,445,201,234,435,10,0
,옹동면투표소,1045,557,236,299,535,22,488
칠보면,소계,2087,1422,820,559,1379,43,665
,관내사전투표,726,726,443,265,708,18,0
,칠보면제1투,969,453,267,177,444,9,516
,칠보면제2투,392,243,110,117,227,16,149
산내면,소계,1089,745,421,299,720,25,344
,관내사전투표,452,452,264,170,434,18,0
,산내면투표소,637,293,157,129,286,7,344
산외면,소계,1882,1196,806,362,1168,28,686
,관내사전투표,672,672,457,199,656,16,0
,산외면투표소,1210,524,349,163,512,12,686
수성동,소계,14043,8113,5604,2408,8012,101,5930
,관내사전투표,3868,3865,2751,1081,3832,33,3
,수성동제1투,1245,532,332,195,527,5,713
,수성동제2투,1588,839,588,238,826,13,749
,수성동제3투,1474,678,455,200,655,23,796
,수성동제4투,2765,1029,684,328,1012,17,1736
,수성동제5투,3103,1170,794,366,1160,10,1933
장명동,소계,2698,1699,1066,615,1681,18,999
,관내사전투표,863,863,545,311,856,7,0
,장명동투표소,1835,836,521,304,825,11,999
내장상동,소계,15716,10234,6731,3341,10072,162,5482
,관내사전투표,5051,5051,3483,1506,4989,62,0
,내장상동제1투,2499,1195,773,400,1173,22,1304
,내장상동제2투,1850,889,543,336,879,10,961
,내장상동제3투,1441,801,509,278,787,14,640
,내장상동제4투,1664,719,446,256,702,17,945
,내장상동제5투,1201,626,389,218,607,19,575
,내장상동제6투,2010,953,588,347,935,18,1057
시기동,소계,3292,2239,1377,832,2209,30,1053
,관내사전투표,1301,1300,810,479,1289,11,1
,시기동제1투,1188,521,317,193,510,11,667
,시기동제2투,803,418,250,160,410,8,385
초산동,소계,7178,4648,3022,1555,4577,71,2530
,관내사전투표,2111,2111,1427,651,2078,33,0
,초산동제1투,1293,551,358,186,544,7,742
,초산동제2투,1715,873,544,318,862,11,842
,초산동제3투,2059,1113,693,400,1093,20,946
연지동,소계,5420,3802,2539,1226,3765,37,1618
,관내사전투표,2243,2243,1522,702,2224,19,0
,연지동제1투,1587,711,463,237,700,11,876
,연지동제2투,1590,848,554,287,841,7,742
농소동,소계,3373,2019,1329,653,1982,37,1354
,관내사전투표,875,875,581,275,856,19,0
,농소동제1투,982,435,254,174,428,7,547
,농소동제2투,1516,709,494,204,698,11,807
상교동,소계,3284,2017,1287,676,1963,54,1267
,관내사전투표,977,976,656,295,951,25,1
,상교동제1투,1300,556,358,179,537,19,744
,상교동제2투,1007,485,273,202,475,10,522
잘못 투입·구분된 투표지,,0,3,2,1,3,0,-3
