읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정다은,미래통합당김석기,민생당김보성,정의당권영국,국가혁명배당금당김덕현,무소속정종복,계,무효투표수,기권수
합계,,221512,148761,21560,77102,870,16937,828,29076,146373,2388,72751
거소·선상투표,,528,501,84,284,7,36,10,53,474,27,27
관외사전투표,,10143,10132,2850,4725,144,1006,64,1093,9882,250,11
국외부재자투표,,503,116,56,40,0,13,1,6,116,0,387
국외부재자투표(공관),,0,7,5,1,0,0,0,0,6,1,-7
감포읍,소계,4917,2965,241,1567,18,84,9,984,2903,62,1952
,관내사전투표,1365,1364,135,707,8,56,4,430,1340,24,1
,감포읍제1투,2263,995,79,507,7,20,3,358,974,21,1268
,감포읍제2투,1289,606,27,353,3,8,2,196,589,17,683
안강읍,소계,21663,13769,1548,8134,62,1655,52,2108,13559,210,7894
,관내사전투표,5310,5310,666,3068,19,704,14,765,5236,74,0
,안강읍제1투,2176,1065,97,660,5,74,3,208,1047,18,1111
,안강읍제2투,3032,1507,110,998,5,105,7,252,1477,30,1525
,안강읍제3투,1107,619,48,361,3,44,1,143,600,19,488
,안강읍제4투,3355,1750,189,1065,8,203,9,254,1728,22,1605
,안강읍제5투,2718,1364,172,778,12,210,11,166,1349,15,1354
,안강읍제6투,2792,1514,202,787,8,268,5,227,1497,17,1278
,안강읍제7투,1173,640,64,417,2,47,2,93,625,15,533
건천읍,소계,8403,5275,547,3308,24,313,33,955,5180,95,3128
,관내사전투표,2461,2461,304,1495,11,169,15,436,2430,31,0
,건천읍제1투,2477,1073,110,650,6,59,9,214,1048,25,1404
,건천읍제2투,1829,833,80,528,4,45,7,151,815,18,996
,건천읍제3투,1636,908,53,635,3,40,2,154,887,21,728
외동읍,소계,15687,9257,1838,5189,51,720,74,1236,9108,149,6430
,관내사전투표,2898,2898,714,1421,12,276,22,430,2875,23,0
,외동읍제1투,1490,686,79,438,2,48,12,97,676,10,804
,외동읍제2투,3979,2043,479,1124,19,176,17,191,2006,37,1936
,외동읍제3투,1213,647,94,432,2,35,6,62,631,16,566
,외동읍제4투,1368,735,121,466,2,32,5,100,726,9,633
,외동읍제5투,1654,898,114,535,6,43,2,170,870,28,756
,외동읍제6투,3085,1350,237,773,8,110,10,186,1324,26,1735
양북면,소계,3696,2463,249,1444,17,159,16,513,2398,65,1233
,관내사전투표,1391,1391,158,819,8,95,7,276,1363,28,0
,양북면투표소,2305,1072,91,625,9,64,9,237,1035,37,1233
양남면,소계,5250,3502,601,1882,26,211,19,686,3425,77,1748
,관내사전투표,1836,1836,362,936,14,118,12,361,1803,33,0
,양남면제1투,1872,883,130,501,4,30,4,191,860,23,989
,양남면제2투,1542,783,109,445,8,63,3,134,762,21,759
내남면,소계,4443,3009,338,1786,19,184,15,610,2952,57,1434
,관내사전투표,1464,1464,193,823,10,108,9,301,1444,20,0
,내남면제1투,1605,823,88,501,6,53,4,155,807,16,782
,내남면제2투,1374,722,57,462,3,23,2,154,701,21,652
산내면,소계,2924,1897,226,1224,9,82,18,301,1860,37,1027
,관내사전투표,1072,1072,126,688,8,51,11,170,1054,18,0
,산내면투표소,1852,825,100,536,1,31,7,131,806,19,1027
서면,소계,3004,2110,201,1221,9,119,19,507,2076,34,894
,관내사전투표,1190,1190,122,669,4,79,10,288,1172,18,0
,서면투표소,1814,920,79,552,5,40,9,219,904,16,894
현곡면,소계,15954,10742,1655,4649,45,1984,52,2225,10610,132,5212
,관내사전투표,3785,3785,651,1609,17,743,14,728,3762,23,0
