읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이상헌,미래통합당박대동,민생당김도현,정의당김진영,국가혁명배당금당최형준,무소속박재묵,무소속박영수,계,무효투표수,기권수
합계,,173616,118334,54215,47836,1120,11571,761,552,923,116978,1356,55282
거소·선상투표,,263,253,85,118,13,17,3,5,4,245,8,10
관외사전투표,,8839,8835,4293,3235,126,646,73,94,136,8603,232,4
국외부재자투표,,301,59,48,6,0,4,0,1,0,59,0,242
국외부재자투표(공관),,0,1,1,0,0,0,0,0,0,1,0,-1
농소1동,소계,27206,17558,7595,7896,152,1442,122,65,97,17369,189,9648
,관내사전투표,3671,3670,1851,1388,27,319,20,16,17,3638,32,1
,농소1동제1투,2466,1351,474,722,12,102,9,6,9,1334,17,1115
,농소1동제2투,1908,1013,269,633,9,63,10,1,8,993,20,895
,농소1동제3투,3640,2209,872,1063,28,183,14,13,12,2185,24,1431
,농소1동제4투,1453,794,270,426,10,60,8,5,1,780,14,659
,농소1동제5투,1366,800,317,399,5,49,9,5,4,788,12,566
,농소1동제6투,3157,2032,910,886,16,175,11,8,7,2013,19,1125
,농소1동제7투,2179,1509,708,626,9,138,9,3,6,1499,10,670
,농소1동제8투,3008,1489,554,767,17,85,21,1,14,1459,30,1519
,농소1동제9투,4358,2691,1370,986,19,268,11,7,19,2680,11,1667
농소2동,소계,30542,20366,9654,8266,158,1738,144,71,147,20178,188,10176
,관내사전투표,5993,5993,3318,1947,43,571,20,21,33,5953,40,0
,농소2동제1투,2254,1145,454,531,11,112,5,4,14,1131,14,1109
,농소2동제2투,1674,873,308,477,5,48,10,4,10,862,11,801
,농소2동제3투,1879,1087,362,617,8,66,11,1,7,1072,15,792
,농소2동제4투,2276,1290,437,714,5,74,22,10,8,1270,20,986
,농소2동제5투,2287,1252,529,581,15,91,5,4,12,1237,15,1035
,농소2동제6투,4070,2427,1105,1033,24,201,14,8,16,2401,26,1643
,농소2동제7투,3405,2204,938,936,22,246,25,10,17,2194,10,1201
,농소2동제8투,4025,2348,1284,818,11,185,17,2,14,2331,17,1677
,농소2동제9투,2679,1747,919,612,14,144,15,7,16,1727,20,932
농소3동,소계,28207,18989,9143,7515,184,1680,91,73,117,18803,186,9218
,관내사전투표,5771,5771,3343,1744,41,554,12,17,28,5739,32,0
,농소3동제1투,2786,1543,658,747,10,83,14,7,7,1526,17,1243
