읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김현정,미래통합당유의동,민중당김양현,국가혁명배당금당장재혁,무소속허승녕,무소속이인숙,계,무효투표수,기권수
합계,,214797,126373,57540,59491,1862,914,1443,3536,124786,1587,88424
거소·선상투표,,996,969,413,324,10,38,37,72,894,75,27
관외사전투표,,11708,11701,5873,4850,173,122,183,251,11452,249,7
국외부재자투표,,458,104,71,26,4,0,3,0,104,0,354
국외부재자투표(공관),,0,3,2,1,0,0,0,0,3,0,-3
팽성읍,소계,23002,12011,4305,7012,127,84,108,233,11869,142,10991
,관내사전투표,3414,3414,1585,1662,38,15,36,52,3388,26,0
,팽성읍제1투,2803,1366,459,815,17,11,14,33,1349,17,1437
,팽성읍제2투,2860,1437,534,810,18,14,15,30,1421,16,1423
,팽성읍제3투,4382,1246,428,731,6,14,11,34,1224,22,3136
,팽성읍제4투,1597,724,189,501,7,2,4,19,722,2,873
,팽성읍제5투,1739,1029,257,724,7,3,4,16,1011,18,710
,팽성읍제6투,1435,665,185,446,3,3,2,17,656,9,770
,팽성읍제7투,2300,1053,311,672,19,9,11,13,1035,18,1247
,팽성읍제8투,2472,1077,357,651,12,13,11,19,1063,14,1395
안중읍,소계,32774,18375,9144,7810,406,122,152,511,18145,230,14399
,관내사전투표,5817,5816,3366,2061,135,34,35,130,5761,55,1
,안중읍제1투,4978,2008,822,1028,40,18,22,55,1985,23,2970
,안중읍제2투,3142,1452,486,867,22,9,12,36,1432,20,1690
,안중읍제3투,1732,855,347,451,13,4,3,21,839,16,877
,안중읍제4투,2001,856,387,401,14,6,7,32,847,9,1145
,안중읍제5투,1937,965,472,397,25,6,11,32,943,22,972
,안중읍제6투,3440,1132,458,577,18,11,15,31,1110,22,2308
,안중읍제7투,4067,2178,1151,851,51,13,21,68,2155,23,1889
,안중읍제8투,2579,1461,794,537,40,9,14,54,1448,13,1118
,안중읍제9투,3081,1652,861,640,48,12,12,52,1625,27,1429
포승읍,소계,18608,9389,4509,4147,129,95,118,263,9261,128,9219
,관내사전투표,3146,3146,1742,1163,53,25,44,87,3114,32,0
,포승읍제1투,2226,859,340,466,11,7,7,18,849,10,1367
,포승읍제2투,1190,650,206,375,12,13,1,20,627,23,540
,포승읍제3투,1700,689,298,359,5,6,7,10,685,4,1011
,포승읍제4투,1995,788,321,392,5,11,8,36,773,15,1207
,포승읍제5투,4141,1569,881,580,15,22,23,31,1552,17,2572
,포승읍제6투,1840,849,334,449,10,5,14,24,836,13,991
,포승읍제7투,2370,839,387,363,18,6,14,37,825,14,1531
고덕면,소계,12788,6878,3004,3395,90,48,92,180,6809,69,5910
,관내사전투표,1703,1703,841,751,25,5,37,33,1692,11,0
,고덕면제1투,4676,2171,1043,997,25,14,17,55,2151,20,2505
,고덕면제2투,1726,778,207,515,8,10,12,13,765,13,948
,고덕면제3투,3462,1650,736,766,26,16,21,67,1632,18,1812
,고덕면제4투,1221,576,177,366,6,3,5,12,569,7,645
오성면,소계,5975,3553,1216,2074,52,22,27,106,3497,56,2422
,관내사전투표,1442,1442,596,737,23,6,11,53,1426,16,0
,오성면제1투,2614,1059,331,648,12,8,10,29,1038,21,1555
,오성면제2투,1441,793,229,509,11,7,6,18,780,13,648
,오성면제3투,478,259,60,180,6,1,0,6,253,6,219
현덕면,소계,5083,3243,1139,1933,37,18,13,63,3203,40,1840
,관내사전투표,1427,1426,647,709,19,8,5,27,1415,11,1
,현덕면제1투,1636,753,262,442,13,7,4,14,742,11,883
,현덕면제2투,869,483,91,374,1,2,0,10,478,5,386
,현덕면제3투,1151,581,139,408,4,1,4,12,568,13,570
신평동,소계,18848,10031,3939,5279,159,70,135,313,9895,136,8817
,관내사전투표,2940,2940,1367,1340,56,16,39,83,2901,39,0
,신평동제1투,1934,841,311,464,16,3,12,18,824,17,1093
,신평동제2투,2443,829,280,474,9,9,18,29,819,10,1614
,신평동제3투,3135,1384,423,871,16,6,13,38,1367,17,1751
,신평동제4투,4017,1638,651,850,29,13,20,53,1616,22,2379
,신평동제5투,1487,565,189,324,8,9,7,21,558,7,922
,신평동제6투,534,332,99,204,2,6,2,12,325,7,202
,신평동제7투,2358,1502,619,752,23,8,24,59,1485,17,856
원평동,소계,9539,5541,2243,2858,74,49,93,175,5492,49,3998
,관내사전투표,2173,2173,962,1056,25,11,36,69,2159,14,0
,원평동제1투,2820,1044,359,582,19,19,17,40,1036,8,1776
,원평동제2투,2551,1276,562,599,24,13,24,44,1266,10,1275
,원평동제3투,1252,707,244,419,5,2,8,18,696,11,545
,원평동제4투,743,341,116,202,1,4,8,4,335,6,402
비전2동,소계,39485,23867,10867,11305,319,109,245,789,23634,233,15618
,관내사전투표,6232,6232,3230,2603,98,25,49,173,6178,54,0
,비전2동제1투,2179,1103,418,613,11,6,11,35,1094,9,1076
,비전2동제2투,2023,1021,362,587,13,6,4,41,1013,8,1002
,비전2동제3투,2305,1074,361,621,17,13,14,38,1064,10,1231
,비전2동제4투,2935,1304,530,672,16,4,14,54,1290,14,1631
,비전2동제5투,2116,1216,505,615,16,6,13,47,1202,14,900
,비전2동제6투,1942,1167,477,616,15,8,13,29,1158,9,775
,비전2동제7투,2876,1543,614,800,19,6,18,64,1521,22,1333
,비전2동제8투,2715,1432,596,725,24,5,22,44,1416,16,1283
,비전2동제9투,2938,1813,764,925,18,11,19,55,1792,21,1125
,비전2동제10투,3157,1741,874,755,12,5,16,64,1726,15,1416
,비전2동제11투,4576,2432,1220,1060,21,6,23,76,2406,26,2144
,비전2동제12투,3491,1789,916,713,39,8,29,69,1774,15,1702
청북읍,소계,17755,9767,5085,3980,168,78,100,267,9678,89,7988
,관내사전투표,2599,2599,1508,933,39,22,21,56,2579,20,0
,청북읍제1투,1686,692,183,457,9,2,12,20,683,9,994
,청북읍제2투,1470,671,207,415,8,5,4,21,660,11,799
,청북읍제3투,923,487,119,339,7,2,5,10,482,5,436
,청북읍제4투,3824,1690,978,556,31,19,29,54,1667,23,2134
